Technique ID,Technique Name,Is Sub-Technique,Parent Technique ID,Parent Technique Name,Tactics,Platforms,Data Components,Data Component Count,Log Sources,Log Source Count,Threat Groups Using This Technique,Threat Group Count
T1212,Exploitation for Credential Access,False,,,Credential Access,"Identity Provider, Linux, Windows, macOS","Application Log Content
Process Access
Process Creation
User Account Authentication",4,"NSM:Connections
WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
azure:signinlogs
m365:unified
macos:osquery
macos:unifiedlog",8,UNC3886,1
T1213,Data from Information Repositories,False,,,Collection,"IaaS, Linux, Office Suite, SaaS, Windows, macOS","Application Log Content
Cloud Service Modification
Cloud Storage Access
Command Execution
File Access
Network Connection Creation
Network Share Access
Process Creation",8,"WinEventLog:Security
auditd:SYSCALL
linux:Sysmon
m365:unified
macos:osquery
macos:unifiedlog
saas:confluence
saas:slack",8,APT28,1
T1213.001,Data from Information Repositories: Confluence,True,T1213,Data from Information Repositories,Collection,SaaS,"Application Log Content
Logon Session Creation
Network Traffic Content",3,saas:confluence,1,LAPSUS$,1
T1213.002,Data from Information Repositories: Sharepoint,True,T1213,Data from Information Repositories,Collection,"Office Suite, Windows","Application Log Content
Cloud Service Metadata
Logon Session Creation",3,"azure:signinlogs
m365:sharepoint
m365:unified",3,"APT28, Akira, Chimera, HAFNIUM, Ke3chang, LAPSUS$",6
T1213.003,Data from Information Repositories: Code Repositories,True,T1213,Data from Information Repositories,Collection,SaaS,"Application Log Content
Cloud Service Metadata
Logon Session Creation",3,saas:github,1,"APT41, LAPSUS$, Scattered Spider",3
T1213.004,Data from Information Repositories: Customer Relationship Management Software,True,T1213,Data from Information Repositories,Collection,SaaS,"Application Log Content
Logon Session Creation",2,"m365:signinlogs
saas:salesforce",2,,0
T1213.005,Data from Information Repositories: Messaging Applications,True,T1213,Data from Information Repositories,Collection,"Office Suite, SaaS","Application Log Content
Logon Session Creation",2,"m365:signinlogs
m365:unified
saas:slack",3,"Fox Kitten, LAPSUS$, Scattered Spider",3
T1213.006,Data from Information Repositories: Databases,True,T1213,Data from Information Repositories,Collection,"IaaS, Linux, SaaS, Windows, macOS","Application Log Content
Cloud Service Metadata
Cloud Storage Access
File Access
File Creation
Network Connection Creation
Network Traffic Content
Process Creation",8,"AWS:CloudTrail
AWS:VPCFlowLogs
NSM:Flow
WinEventLog:Security
WinEventLog:Sysmon
auditd:PATH
auditd:SYSCALL
m365:unified
macos:unifiedlog
saas:Snowflake",10,"FIN6, Sandworm Team, Sea Turtle, Turla",4
T1216,System Script Proxy Execution,False,,,Defense Evasion,Windows,"Command Execution
File Creation
Module Load
Process Access
Process Creation",5,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,,0
T1216.001,System Script Proxy Execution: PubPrn,True,T1216,System Script Proxy Execution,Defense Evasion,Windows,"Command Execution
Module Load
Network Connection Creation
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,APT32,1
T1216.002,System Script Proxy Execution: SyncAppvPublishingServer,True,T1216,System Script Proxy Execution,Defense Evasion,Windows,"Command Execution
Module Load
Process Access
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,,0
T1217,Browser Information Discovery,False,,,Discovery,"Linux, Windows, macOS","Command Execution
File Access
File Creation
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:SYSCALL
linux:syslog
macos:osquery
macos:unifiedlog",6,"APT38, Chimera, Fox Kitten, Moonstone Sleet, Scattered Spider, Volt Typhoon",6
T1218,System Binary Proxy Execution,False,,,Defense Evasion,"Linux, Windows, macOS","Module Load
Network Connection Creation
Process Creation",3,"WinEventLog:Sysmon
auditd:SYSCALL
macos:osquery
macos:unifiedlog",4,"Lazarus Group, Volt Typhoon",2
T1218.001,System Binary Proxy Execution: Compiled HTML File,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"File Creation
Module Load
Network Connection Creation
Process Creation",4,WinEventLog:Sysmon,1,"APT38, APT41, Dark Caracal, OilRig, Silence",5
T1218.002,System Binary Proxy Execution: Control Panel,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"File Creation
Module Load
Process Creation
Windows Registry Key Creation",4,WinEventLog:Sysmon,1,,0
T1218.003,System Binary Proxy Execution: CMSTP,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Command Execution
File Creation
Network Connection Creation
Process Access
Process Creation
Windows Registry Key Creation
Windows Registry Key Modification",7,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,"Cobalt Group, MuddyWater",2
T1218.004,System Binary Proxy Execution: InstallUtil,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Command Execution
File Creation
Module Load
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,"Mustang Panda, menuPass",2
T1218.005,System Binary Proxy Execution: Mshta,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"File Creation
Network Connection Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT29, APT32, APT38, Confucius, Earth Lusca, FIN7, Gamaredon Group, Inception, Kimsuky, Lazarus Group, LazyScripter, MuddyWater, Mustang Panda, SideCopy, Sidewinder, TA2541, TA551",17
T1218.007,System Binary Proxy Execution: Msiexec,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Module Load
Network Connection Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT38, Machete, Molerats, Rancor, TA505, ZIRCONIUM",6
T1218.008,System Binary Proxy Execution: Odbcconf,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Module Load
Network Connection Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon",2,Cobalt Group,1
T1218.009,System Binary Proxy Execution: Regsvcs/Regasm,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Command Execution
File Creation
Module Load
Network Connection Creation
Process Creation
Windows Registry Key Creation
Windows Registry Key Modification",7,"WinEventLog:PowerShell
WinEventLog:Security
WinEventLog:Sysmon",3,,0
T1218.010,System Binary Proxy Execution: Regsvr32,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Module Load
Network Connection Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT19, APT32, Blue Mockingbird, Cobalt Group, Deep Panda, Inception, Kimsuky, Leviathan, Storm-0501, TA551, WIRTE",11
T1218.011,System Binary Proxy Execution: Rundll32,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"File Creation
Module Load
Network Connection Creation
Process Creation",4,WinEventLog:Sysmon,1,"APT19, APT28, APT3, APT32, APT38, APT41, Aquatic Panda, Blue Mockingbird, Carbanak, CopyKittens, Daggerfly, FIN7, Gamaredon Group, HAFNIUM, Kimsuky, Lazarus Group, LazyScripter, Magic Hound, MuddyWater, RedCurl, Sandworm Team, Storm-0501, TA505, TA551, UNC3886, Wizard Spider",26
T1218.012,System Binary Proxy Execution: Verclsid,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Module Load
Network Connection Creation
Process Creation
Windows Registry Key Modification",4,WinEventLog:Sysmon,1,,0
T1218.013,System Binary Proxy Execution: Mavinject,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Command Execution
File Creation
Module Load
Network Connection Creation
Process Access
Process Creation",6,"WinEventLog:PowerShell
WinEventLog:Security
WinEventLog:Sysmon",3,,0
T1218.014,System Binary Proxy Execution: MMC,True,T1218,System Binary Proxy Execution,Defense Evasion,Windows,"Command Execution
File Creation
Module Load
Network Connection Creation
OS API Execution
Process Creation
Windows Registry Key Creation
Windows Registry Key Modification",8,"WinEventLog:Microsoft-Windows-COM/Operational
WinEventLog:PowerShell
WinEventLog:Sysmon",3,Medusa Group,1
T1218.015,System Binary Proxy Execution: Electron Applications,True,T1218,System Binary Proxy Execution,Defense Evasion,"Linux, Windows, macOS","File Creation
Module Load
Network Connection Creation
Process Creation",4,"WinEventLog:Sysmon
auditd:SYSCALL
macos:osquery
macos:unifiedlog",4,,0
T1219,Remote Access Tools,False,,,Command and Control,"Linux, Windows, macOS","File Creation
Network Connection Creation
Process Creation
Service Creation
Windows Registry Key Creation
Windows Registry Key Modification",6,"WinEventLog:Sysmon
WinEventLog:System
auditd:PATH
auditd:SYSCALL
macos:osquery
macos:unifiedlog",6,"Akira, BlackByte, Carbanak, Cobalt Group, DarkVishnya, FIN7, GOLD SOUTHFIELD, INC Ransom, Medusa Group, MuddyWater, OilRig, Sandworm Team, TeamTNT",13
T1219.001,Remote Access Tools: IDE Tunneling,True,T1219,Remote Access Tools,Command and Control,"Linux, Windows, macOS","File Creation
Network Connection Creation
Process Creation",3,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
macos:unifiedlog",4,Mustang Panda,1
T1219.002,Remote Access Tools: Remote Desktop Software,True,T1219,Remote Access Tools,Command and Control,"Linux, Windows, macOS","File Creation
Firewall Rule Modification
Network Connection Creation
Process Creation",4,"NSM:Flow
WinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall
WinEventLog:Sysmon
auditd:SYSCALL
macos:unifiedlog",5,"Contagious Interview, Evilnum, Kimsuky, Mustang Panda, RTM, Scattered Spider, Storm-0501, Storm-1811, Thrip",9
T1219.003,Remote Access Tools: Remote Access Hardware,True,T1219,Remote Access Tools,Command and Control,"Linux, Windows, macOS",Drive Creation,1,"WinEventLog:System
auditd:SYSCALL
macos:unifiedlog",3,,0
T1220,XSL Script Processing,False,,,Defense Evasion,Windows,"Module Load
Process Creation",2,WinEventLog:Sysmon,1,"Cobalt Group, Higaisa",2
T1221,Template Injection,False,,,Defense Evasion,Windows,"Network Connection Creation
Process Creation",2,WinEventLog:Sysmon,1,"APT28, Confucius, DarkHydrus, Dragonfly, Gamaredon Group, Inception, Tropic Trooper",7
T1222,File and Directory Permissions Modification,False,,,Defense Evasion,"ESXi, Linux, Windows, macOS","Active Directory Object Modification
Command Execution
File Creation
File Metadata
Process Creation",5,"WinEventLog:PowerShell
WinEventLog:Security
WinEventLog:Sysmon
auditd:PROCTITLE
auditd:SYSCALL
esxi:hostd
esxi:shell
esxi:vpxd
fs:fsevents
macos:unifiedlog",10,,0
